Graph,Layer,Dest,Src,Time
SqueezeV1,6,G,B,3.72718
SqueezeV1,7,B,G,1.06157
SqueezeV1,8,G,B,1.67928
SqueezeV1,0,L,G,2.12393
SqueezeV1,1,G,L,4.04621
SqueezeV1,2,L,G,2.9964
SqueezeV1,3,G,L,2.99913
SqueezeV1,4,L,G,1.64841
SqueezeV1,5,G,L,3.28401
SqueezeV1,6,L,G,2.05449
SqueezeV1,7,G,L,2.15493
SqueezeV1,8,L,G,1.05168
SqueezeV1,0,G,L,3.05246
SqueezeV1,1,L,G,2.70099
SqueezeV1,2,G,L,4.25947
SqueezeV1,3,L,G,1.632
SqueezeV1,4,G,L,2.70806
SqueezeV1,5,L,G,2.04582
SqueezeV1,6,G,L,3.32771
SqueezeV1,7,L,G,1.0748
SqueezeV1,8,G,L,1.86613
SqueezeV1,0,L,B,1.0363
SqueezeV1,1,B,L,1.55576
SqueezeV1,2,L,B,1.24685
SqueezeV1,3,B,L,0.751003
SqueezeV1,4,L,B,0.696505
SqueezeV1,5,B,L,1.09508
SqueezeV1,6,L,B,0.885204
SqueezeV1,7,B,L,0.378374
SqueezeV1,8,L,B,0.244922
SqueezeV1,0,B,L,1.22616
SqueezeV1,1,L,B,1.27777
SqueezeV1,2,B,L,1.53545
SqueezeV1,3,L,B,0.632042
SqueezeV1,4,B,L,0.759524
SqueezeV1,5,L,B,0.857967
SqueezeV1,6,B,L,1.11793
SqueezeV1,7,L,B,0.309006
SqueezeV1,8,B,L,0.339515
YOLOv3,0,B,G,84.8864
YOLOv3,1,G,B,96.469
YOLOv3,2,B,G,20.9432
YOLOv3,3,G,B,48.7566
YOLOv3,4,B,G,60.575
YOLOv3,5,G,B,22.9251
YOLOv3,6,B,G,50.5425
YOLOv3,7,G,B,21.9089
YOLOv3,8,B,G,23.2073
YOLOv3,9,G,B,31.4849
YOLOv3,10,B,G,6.4576
YOLOv3,11,G,B,20.7288
YOLOv3,12,B,G,9.66961
YOLOv3,13,G,B,22.8376
YOLOv3,14,B,G,8.76434
YOLOv3,15,G,B,20.4773
YOLOv3,16,B,G,10.4816
YOLOv3,17,G,B,22.1383
YOLOv3,18,B,G,9.103
YOLOv3,19,G,B,25.6841
YOLOv3,20,B,G,8.99568
YOLOv3,21,G,B,22.6264
YOLOv3,22,B,G,9.59152
YOLOv3,23,G,B,21.0019
YOLOv3,24,B,G,9.93944
YOLOv3,25,G,B,22.4865
YOLOv3,26,B,G,20.225
YOLOv3,27,G,B,7.90477
YOLOv3,28,B,G,18.6381
YOLOv3,29,G,B,7.73924
YOLOv3,30,B,G,18.0661
YOLOv3,31,G,B,6.34692
YOLOv3,32,B,G,21.8092
YOLOv3,33,G,B,8.00941
YOLOv3,34,B,G,22.2309
YOLOv3,35,G,B,7.67792
YOLOv3,36,B,G,21.0434
YOLOv3,37,G,B,8.97288
YOLOv3,38,B,G,19.9174
YOLOv3,39,G,B,7.33892
YOLOv3,40,B,G,20.2728
YOLOv3,41,G,B,7.4348
YOLOv3,42,B,G,11.16
YOLOv3,43,G,B,16.1412
YOLOv3,44,B,G,3.94558
YOLOv3,45,G,B,10.8429
YOLOv3,46,B,G,5.42272
YOLOv3,47,G,B,10.4707
YOLOv3,48,B,G,4.53506
YOLOv3,49,G,B,10.639
YOLOv3,50,B,G,5.07355
YOLOv3,51,G,B,11.6405
YOLOv3,52,B,G,5.15322
YOLOv3,53,G,B,6.70262
YOLOv3,54,B,G,5.2008
YOLOv3,55,G,B,7.47562
YOLOv3,56,B,G,6.72915
YOLOv3,57,G,B,21.4347
YOLOv3,58,B,G,0.0557764
YOLOv3,59,G,B,26.0884
YOLOv3,60,B,G,7.47999
YOLOv3,61,G,B,11.7748
YOLOv3,62,B,G,4.91046
YOLOv3,63,G,B,10.7647
YOLOv3,64,B,G,10.021
YOLOv3,65,G,B,19.9808
YOLOv3,66,B,G,0.111276
YOLOv3,67,G,B,62.9235
YOLOv3,68,B,G,11.6219
YOLOv3,69,G,B,17.3921
YOLOv3,70,B,G,8.00377
YOLOv3,71,G,B,17.8479
YOLOv3,72,B,G,9.01335
YOLOv3,73,G,B,15.0805
YOLOv3,0,L,B,73.1504
YOLOv3,1,B,L,55.7985
YOLOv3,2,L,B,17.6088
YOLOv3,3,B,L,29.35
YOLOv3,4,L,B,36.3099
YOLOv3,5,B,L,7.3018
YOLOv3,6,L,B,32.4414
YOLOv3,7,B,L,6.80247
YOLOv3,8,L,B,14.2739
YOLOv3,9,B,L,13.4504
YOLOv3,10,L,B,3.71147
YOLOv3,11,B,L,13.5188
YOLOv3,12,L,B,3.82648
YOLOv3,13,B,L,13.2553
YOLOv3,14,L,B,4.86553
YOLOv3,15,B,L,13.2367
YOLOv3,16,L,B,4.19313
YOLOv3,17,B,L,13.7
YOLOv3,18,L,B,4.21729
YOLOv3,19,B,L,13.674
YOLOv3,20,L,B,3.99699
YOLOv3,21,B,L,13.3857
YOLOv3,22,L,B,4.96138
YOLOv3,23,B,L,13.4008
YOLOv3,24,L,B,4.14167
YOLOv3,25,B,L,13.6507
YOLOv3,26,L,B,10.417
YOLOv3,27,B,L,1.73515
YOLOv3,28,L,B,7.61475
YOLOv3,29,B,L,1.81947
YOLOv3,30,L,B,7.64567
YOLOv3,31,B,L,1.79959
YOLOv3,32,L,B,6.75178
YOLOv3,33,B,L,1.80721
YOLOv3,34,L,B,7.03054
YOLOv3,35,B,L,1.86704
YOLOv3,36,L,B,7.44364
YOLOv3,37,B,L,1.80063
YOLOv3,38,L,B,7.52669
YOLOv3,39,B,L,1.75795
YOLOv3,40,L,B,8.57116
YOLOv3,41,B,L,1.77172
YOLOv3,42,L,B,8.44928
YOLOv3,43,B,L,3.69657
YOLOv3,44,L,B,0.920554
YOLOv3,45,B,L,3.32332
YOLOv3,46,L,B,0.81392
YOLOv3,47,B,L,3.59342
YOLOv3,48,L,B,0.86468
YOLOv3,49,B,L,3.43878
YOLOv3,50,L,B,1.00698
YOLOv3,51,B,L,1.68759
YOLOv3,52,L,B,0.951898
YOLOv3,53,B,L,1.67979
YOLOv3,54,L,B,0.845124
YOLOv3,55,B,L,1.68506
YOLOv3,56,L,B,1.77715
YOLOv3,57,B,L,2.28809
YOLOv3,58,L,B,0.0124396
YOLOv3,59,B,L,5.0406
YOLOv3,60,L,B,2.7215
YOLOv3,61,B,L,3.49623
YOLOv3,62,L,B,2.08999
YOLOv3,63,B,L,3.53086
YOLOv3,64,L,B,4.76986
YOLOv3,65,B,L,4.37554
YOLOv3,66,L,B,0.00368468
YOLOv3,67,B,L,11.3785
YOLOv3,68,L,B,5.9385
YOLOv3,69,B,L,7.00176
YOLOv3,70,L,B,3.56849
YOLOv3,71,B,L,7.12427
YOLOv3,72,L,B,4.40167
YOLOv3,73,B,L,7.16766
YOLOv3,0,B,L,60.2451
YOLOv3,1,L,B,54.0831
YOLOv3,2,B,L,15.4816
YOLOv3,3,L,B,26.6298
YOLOv3,4,B,L,25.3494
YOLOv3,5,L,B,6.83228
YOLOv3,6,B,L,24.282
YOLOv3,7,L,B,7.25949
YOLOv3,8,B,L,12.5245
YOLOv3,9,L,B,13.7369
YOLOv3,10,B,L,3.11541
YOLOv3,11,L,B,13.6801
YOLOv3,12,B,L,3.20867
YOLOv3,13,L,B,12.5676
YOLOv3,14,B,L,3.18261
YOLOv3,15,L,B,13.2941
YOLOv3,16,B,L,3.15647
YOLOv3,17,L,B,12.9123
YOLOv3,18,B,L,3.11833
YOLOv3,19,L,B,12.8062
YOLOv3,20,B,L,3.31081
YOLOv3,21,L,B,13.5537
YOLOv3,22,B,L,3.14761
YOLOv3,23,L,B,12.422
YOLOv3,24,B,L,3.21499
YOLOv3,25,L,B,13.0574
YOLOv3,26,B,L,6.29985
YOLOv3,27,L,B,1.54664
YOLOv3,28,B,L,6.23936
YOLOv3,29,L,B,1.65416
YOLOv3,30,B,L,6.14582
YOLOv3,31,L,B,1.47526
YOLOv3,32,B,L,6.09437
YOLOv3,33,L,B,1.50155
YOLOv3,34,B,L,6.54783
YOLOv3,35,L,B,1.60845
YOLOv3,36,B,L,6.72723
YOLOv3,37,L,B,1.71701
YOLOv3,38,B,L,6.06755
YOLOv3,39,L,B,1.51044
YOLOv3,40,B,L,6.16912
YOLOv3,41,L,B,1.72707
YOLOv3,42,B,L,5.99934
YOLOv3,43,L,B,3.91021
YOLOv3,44,B,L,0.788249
YOLOv3,45,L,B,3.08935
YOLOv3,46,B,L,0.89669
YOLOv3,47,L,B,2.71869
YOLOv3,48,B,L,0.807231
YOLOv3,49,L,B,2.87623
YOLOv3,50,B,L,0.790577
YOLOv3,51,L,B,1.64991
YOLOv3,52,B,L,0.850534
YOLOv3,53,L,B,1.6847
YOLOv3,54,B,L,0.838027
YOLOv3,55,L,B,1.47671
YOLOv3,56,B,L,1.55176
YOLOv3,57,L,B,1.92136
YOLOv3,58,B,L,0.002484
YOLOv3,59,L,B,5.45053
YOLOv3,60,B,L,1.83228
YOLOv3,61,L,B,3.15171
YOLOv3,62,B,L,1.76403
YOLOv3,63,L,B,2.98353
YOLOv3,64,B,L,3.27386
YOLOv3,65,L,B,4.60194
YOLOv3,66,B,L,0.00251803
YOLOv3,67,L,B,11.022
YOLOv3,68,B,L,4.08675
YOLOv3,69,L,B,6.67071
YOLOv3,70,B,L,3.32033
YOLOv3,71,L,B,5.90606
YOLOv3,72,B,L,3.1183
YOLOv3,73,L,B,7.35605
