,graph,order,freq,pred_average_power,pred_total_time,,,power,time
84,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLNLNNLLBBLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (0,), (7,), (7,), (3,), (7,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (4,), (1,), (1,), (3,), (7,), (1,), (7,), (7,), (2,), (2,), (0,), (0,), (2,), (1,), (0,), (1,))",3793.86846041766,4696.95269916458,,,3.79386846041766,4.69695269916458
79,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNBBNNLBLNNLLLLLLNNLLLLLLBL,"((1,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (3,), (7,), (0,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (2,), (1,), (0,), (2,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (3,), (0,), (1,), (0,), (0,))",3801.59523218297,4647.64401252062,,,3.80159523218297,4.64764401252062
99,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLNLNNLLLLLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (0,), (7,), (7,), (3,), (7,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (3,), (1,), (0,), (3,), (7,), (1,), (7,), (7,), (2,), (1,), (1,), (3,), (2,), (1,), (0,), (1,))",3810.68319793,4586.37325296906,,,3.81068319793,4.58637325296906
42,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLLLNNLLLLLLBL,"((1,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (2,), (1,), (0,), (2,), (0,), (0,), (7,), (7,), (2,), (1,), (1,), (3,), (0,), (1,), (0,), (0,))",3811.81553785389,4541.87581671984,,,3.81181553785389,4.54187581671984
52,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLNLNNLLBBLLBL,"((1,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (4,), (0,), (1,), (3,), (7,), (0,), (7,), (7,), (2,), (2,), (0,), (0,), (0,), (1,), (0,), (1,))",3825.97208206438,4466.29862881499,,,3.82597208206438,4.46629862881499
69,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLLLNNLLLLLLBL,"((1,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (4,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (2,), (1,), (0,), (2,), (0,), (0,), (7,), (7,), (2,), (1,), (1,), (3,), (2,), (1,), (0,), (0,))",3830.42803700544,4446.0660998149,,,3.83042803700544,4.4460660998149
27,YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLBBLLLBLNNLLLBLLNNLBLBLLBL,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (0,), (0,), (0,), (1,), (0,), (0,), (0,), (1,), (0,), (2,), (0,), (1,), (7,), (7,), (3,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3830.98745764116,4353.02911612676,,,3.83098745764116,4.35302911612676
21,YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLLBLLLBLNNLLLBLLNNLBLBLLBL,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (0,), (1,), (0,), (4,), (0,), (1,), (0,), (2,), (0,), (1,), (7,), (7,), (3,), (1,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3838.58503676726,4283.15169300759,,,3.83858503676726,4.28315169300759
45,YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLBBLNLBLNNLLLBLLNNLLBBLLBL,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (0,), (1,), (0,), (3,), (0,), (0,), (0,), (1,), (7,), (2,), (0,), (1,), (7,), (7,), (3,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3842.19813120958,4184.10996489109,,,3.84219813120958,4.18410996489109
95,YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLLBLNLBLNNLLLBLLNNLLBBLLBL,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (1,), (0,), (3,), (0,), (3,), (0,), (1,), (7,), (2,), (0,), (1,), (7,), (7,), (3,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3844.8466568892,4140.7045899844,,,3.8448466568892,4.1407045899844
92,YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLLBLNLBLNNLLLBLLNNLBLBLLBL,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (0,), (1,), (0,), (4,), (0,), (1,), (7,), (2,), (0,), (1,), (7,), (7,), (4,), (0,), (1,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3853.1319429654,4118.73262956168,,,3.8531319429654,4.11873262956168
